match_id,tier,source,participant_id,is_dj,win,team_id,position,champion,duration_min,reached_20,reached_30,gold_lead_15,deaths_total,deaths_pm,d_0_10,rate_0_10,d_10_20,rate_10_20,d_20_30,rate_20_30,d_30_p,rate_30_p,share_early,share_20p,share_30p,d_mid,solo_w15,solo_mid_w15,solo_share_w15,solo_pm_w15,solo_mid_pm_w15,solo_w30,solo_mid_w30,solo_share_w30,solo_pm_w30,solo_mid_pm_w30,solo_w45,solo_mid_w45,solo_share_w45,solo_pm_w45,solo_mid_pm_w45,c_deaths_total,c_deaths_pm,c_d_0_10,c_rate_0_10,c_d_10_20,c_rate_10_20,c_d_20_30,c_rate_20_30,c_d_30_p,c_rate_30_p,c_share_early,c_share_20p,c_share_30p,c_d_mid,c_solo_w15,c_solo_mid_w15,c_solo_share_w15,c_solo_pm_w15,c_solo_mid_pm_w15,c_solo_w30,c_solo_mid_w30,c_solo_share_w30,c_solo_pm_w30,c_solo_mid_pm_w30,c_solo_w45,c_solo_mid_w45,c_solo_share_w45,c_solo_pm_w45,c_solo_mid_pm_w45
NA1_5596457667,IRON,cohort,4,0,1,100,BOTTOM,Ashe,41.067,1,1,3125,8,0.1948051948051948,1,0.1,3,0.3,4,0.4,0,0.0,0.125,0.5,0.0,5,4,3,0.5,0.0974025974025974,0.2727272727272727,4,3,0.5,0.0974025974025974,0.2727272727272727,3,2,0.375,0.07305194805194805,0.18181818181818182,8,0.1948051948051948,1,0.1,3,0.3,4,0.4,0,0.0,0.125,0.5,0.0,5,4,3,0.5,0.0974025974025974,0.2727272727272727,4,3,0.5,0.0974025974025974,0.2727272727272727,3,2,0.375,0.07305194805194805,0.18181818181818182
NA1_5596457667,IRON,cohort,5,0,1,100,UTILITY,Mel,41.067,1,1,3125,7,0.17045454545454544,2,0.2,0,0.0,3,0.3,2,0.180722891566265,0.2857142857142857,0.7142857142857143,0.2857142857142857,2,3,1,0.42857142857142855,0.07305194805194805,0.09090909090909091,1,0,0.14285714285714285,0.02435064935064935,0.0,1,0,0.14285714285714285,0.02435064935064935,0.0,7,0.17045454545454544,2,0.2,0,0.0,3,0.3,2,0.180722891566265,0.2857142857142857,0.7142857142857143,0.2857142857142857,2,3,1,0.42857142857142855,0.07305194805194805,0.09090909090909091,1,0,0.14285714285714285,0.02435064935064935,0.0,1,0,0.14285714285714285,0.02435064935064935,0.0
NA1_5596457667,IRON,cohort,6,0,0,200,TOP,Vayne,41.067,1,1,-3125,9,0.21915584415584413,2,0.2,2,0.2,1,0.1,4,0.36144578313253,0.2222222222222222,0.5555555555555556,0.4444444444444444,1,7,1,0.7777777777777778,0.17045454545454544,0.09090909090909091,4,0,0.4444444444444444,0.0974025974025974,0.0,4,0,0.4444444444444444,0.0974025974025974,0.0,8,0.1948051948051948,2,0.2,2,0.2,1,0.1,3,0.2710843373493975,0.25,0.5,0.375,1,6,1,0.75,0.1461038961038961,0.09090909090909091,4,0,0.5,0.0974025974025974,0.0,4,0,0.5,0.0974025974025974,0.0
NA1_5596457667,IRON,cohort,7,0,0,200,JUNGLE,Volibear,41.067,1,1,-3125,8,0.1948051948051948,1,0.1,3,0.3,2,0.2,2,0.180722891566265,0.125,0.5,0.25,1,4,0,0.5,0.0974025974025974,0.0,1,0,0.125,0.02435064935064935,0.0,0,0,0.0,0.0,0.0,7,0.17045454545454544,1,0.1,3,0.3,2,0.2,1,0.0903614457831325,0.14285714285714285,0.42857142857142855,0.14285714285714285,1,3,0,0.42857142857142855,0.07305194805194805,0.0,1,0,0.14285714285714285,0.02435064935064935,0.0,0,0,0.0,0.0,0.0
NA1_5596457667,IRON,cohort,8,0,0,200,MIDDLE,Locke,41.067,1,1,-3125,5,0.12175324675324674,0,0.0,1,0.1,3,0.3,1,0.0903614457831325,0.0,0.8,0.2,2,2,1,0.4,0.0487012987012987,0.09090909090909091,1,1,0.2,0.02435064935064935,0.09090909090909091,0,0,0.0,0.0,0.0,5,0.12175324675324674,0,0.0,1,0.1,3,0.3,1,0.0903614457831325,0.0,0.8,0.2,2,2,1,0.4,0.0487012987012987,0.09090909090909091,1,1,0.2,0.02435064935064935,0.09090909090909091,0,0,0.0,0.0,0.0
NA1_5596457667,IRON,cohort,9,0,0,200,BOTTOM,Jinx,41.067,1,1,-3125,11,0.26785714285714285,2,0.2,2,0.2,5,0.5,2,0.180722891566265,0.18181818181818182,0.6363636363636364,0.18181818181818182,5,7,2,0.6363636363636364,0.17045454545454544,0.18181818181818182,3,2,0.2727272727272727,0.07305194805194805,0.18181818181818182,2,1,0.18181818181818182,0.0487012987012987,0.09090909090909091,10,0.24350649350649348,2,0.2,2,0.2,5,0.5,1,0.0903614457831325,0.2,0.6,0.1,5,6,2,0.6,0.1461038961038961,0.18181818181818182,3,2,0.3,0.07305194805194805,0.18181818181818182,2,1,0.2,0.0487012987012987,0.09090909090909091
NA1_5596457667,IRON,cohort,10,0,0,200,UTILITY,Lux,41.067,1,1,-3125,6,0.1461038961038961,1,0.1,4,0.4,0,0.0,1,0.0903614457831325,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,2,1,0.3333333333333333,0.0487012987012987,0.09090909090909091,2,1,0.3333333333333333,0.0487012987012987,0.09090909090909091,1,1,0.16666666666666666,0.02435064935064935,0.09090909090909091,6,0.1461038961038961,1,0.1,4,0.4,0,0.0,1,0.0903614457831325,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,2,1,0.3333333333333333,0.0487012987012987,0.09090909090909091,2,1,0.3333333333333333,0.0487012987012987,0.09090909090909091,1,1,0.16666666666666666,0.02435064935064935,0.09090909090909091
NA1_5596489522,IRON,cohort,1,0,1,100,TOP,Kayle,30.167,1,1,545,7,0.23204419889502761,0,0.0,3,0.3,4,0.4,0,0.0,0.0,0.5714285714285714,0.0,4,3,3,0.42857142857142855,0.09944751381215469,0.2727272727272727,3,3,0.42857142857142855,0.09944751381215469,0.2727272727272727,1,1,0.14285714285714285,0.03314917127071823,0.09090909090909091,7,0.23204419889502761,0,0.0,3,0.3,4,0.4,0,0.0,0.0,0.5714285714285714,0.0,4,3,3,0.42857142857142855,0.09944751381215469,0.2727272727272727,3,3,0.42857142857142855,0.09944751381215469,0.2727272727272727,1,1,0.14285714285714285,0.03314917127071823,0.09090909090909091
NA1_5596489522,IRON,cohort,2,0,1,100,JUNGLE,Warwick,30.167,1,1,545,5,0.16574585635359115,1,0.1,2,0.2,2,0.2,0,0.0,0.2,0.4,0.0,2,3,1,0.6,0.09944751381215469,0.09090909090909091,2,0,0.4,0.06629834254143646,0.0,0,0,0.0,0.0,0.0,5,0.16574585635359115,1,0.1,2,0.2,2,0.2,0,0.0,0.2,0.4,0.0,2,3,1,0.6,0.09944751381215469,0.09090909090909091,2,0,0.4,0.06629834254143646,0.0,0,0,0.0,0.0,0.0
NA1_5596489522,IRON,cohort,3,0,1,100,MIDDLE,Yone,30.167,1,1,545,5,0.16574585635359115,3,0.3,0,0.0,2,0.2,0,0.0,0.6,0.4,0.0,0,3,0,0.6,0.09944751381215469,0.0,1,0,0.2,0.03314917127071823,0.0,0,0,0.0,0.0,0.0,5,0.16574585635359115,3,0.3,0,0.0,2,0.2,0,0.0,0.6,0.4,0.0,0,3,0,0.6,0.09944751381215469,0.0,1,0,0.2,0.03314917127071823,0.0,0,0,0.0,0.0,0.0
NA1_5596489522,IRON,cohort,4,0,1,100,BOTTOM,Urgot,30.167,1,1,545,12,0.39779005524861877,3,0.3,6,0.6,3,0.3,0,0.0,0.25,0.25,0.0,4,8,3,0.6666666666666666,0.26519337016574585,0.2727272727272727,4,1,0.3333333333333333,0.13259668508287292,0.09090909090909091,3,0,0.25,0.09944751381215469,0.0,12,0.39779005524861877,3,0.3,6,0.6,3,0.3,0,0.0,0.25,0.25,0.0,4,8,3,0.6666666666666666,0.26519337016574585,0.2727272727272727,4,1,0.3333333333333333,0.13259668508287292,0.09090909090909091,3,0,0.25,0.09944751381215469,0.0
NA1_5596489522,IRON,cohort,5,0,1,100,UTILITY,Leona,30.167,1,1,545,12,0.39779005524861877,3,0.3,4,0.4,5,0.5,0,0.0,0.25,0.4166666666666667,0.0,4,6,1,0.5,0.19889502762430938,0.09090909090909091,2,0,0.16666666666666666,0.06629834254143646,0.0,1,0,0.08333333333333333,0.03314917127071823,0.0,11,0.36464088397790057,3,0.3,4,0.4,4,0.4,0,0.0,0.2727272727272727,0.36363636363636365,0.0,4,5,1,0.45454545454545453,0.16574585635359115,0.09090909090909091,1,0,0.09090909090909091,0.03314917127071823,0.0,0,0,0.0,0.0,0.0
NA1_5596489522,IRON,cohort,6,0,0,200,TOP,Corki,30.167,1,1,-545,8,0.26519337016574585,0,0.0,2,0.2,5,0.5,1,5.999999999999957,0.0,0.75,0.125,4,3,2,0.375,0.09944751381215469,0.18181818181818182,2,1,0.25,0.06629834254143646,0.09090909090909091,1,1,0.125,0.03314917127071823,0.09090909090909091,6,0.19889502762430938,0,0.0,2,0.2,4,0.4,0,0.0,0.0,0.6666666666666666,0.0,4,2,2,0.3333333333333333,0.06629834254143646,0.18181818181818182,1,1,0.16666666666666666,0.03314917127071823,0.09090909090909091,1,1,0.16666666666666666,0.03314917127071823,0.09090909090909091
NA1_5596489522,IRON,cohort,7,0,0,200,JUNGLE,Kayn,30.167,1,1,-545,13,0.430939226519337,3,0.3,5,0.5,5,0.5,0,0.0,0.23076923076923078,0.38461538461538464,0.0,5,4,2,0.3076923076923077,0.13259668508287292,0.18181818181818182,4,2,0.3076923076923077,0.13259668508287292,0.18181818181818182,1,0,0.07692307692307693,0.03314917127071823,0.0,12,0.39779005524861877,3,0.3,5,0.5,4,0.4,0,0.0,0.25,0.3333333333333333,0.0,5,4,2,0.3333333333333333,0.13259668508287292,0.18181818181818182,4,2,0.3333333333333333,0.13259668508287292,0.18181818181818182,1,0,0.08333333333333333,0.03314917127071823,0.0
NA1_5596489522,IRON,cohort,8,0,0,200,MIDDLE,Diana,30.167,1,1,-545,9,0.2983425414364641,3,0.3,4,0.4,2,0.2,0,0.0,0.3333333333333333,0.2222222222222222,0.0,3,3,2,0.3333333333333333,0.09944751381215469,0.18181818181818182,3,2,0.3333333333333333,0.09944751381215469,0.18181818181818182,1,1,0.1111111111111111,0.03314917127071823,0.09090909090909091,9,0.2983425414364641,3,0.3,4,0.4,2,0.2,0,0.0,0.3333333333333333,0.2222222222222222,0.0,3,3,2,0.3333333333333333,0.09944751381215469,0.18181818181818182,3,2,0.3333333333333333,0.09944751381215469,0.18181818181818182,1,1,0.1111111111111111,0.03314917127071823,0.09090909090909091
NA1_5596489522,IRON,cohort,9,0,0,200,BOTTOM,Vayne,30.167,1,1,-545,7,0.23204419889502761,2,0.2,2,0.2,3,0.3,0,0.0,0.2857142857142857,0.42857142857142855,0.0,3,1,0,0.14285714285714285,0.03314917127071823,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6,0.19889502762430938,2,0.2,2,0.2,2,0.2,0,0.0,0.3333333333333333,0.3333333333333333,0.0,3,1,0,0.16666666666666666,0.03314917127071823,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
