match_id,game_creation_utc,queue_id,game_mode,duration_s,duration_min,remake,win,champion,position,kill,death,assist,kda_ratio,cs_lane,cs_jungle,cs_total,cs_per_min,gold,dmg_to_champs,dmg_taken,vision_score,wards_placed,control_wards,level,largest_multikill,first_blood,turret_kills,game_version
NA1_5585562736,2026-06-20T15:14:34Z,420,CLASSIC,2088,34.8,False,False,Vayne,BOTTOM,2,11,7,0.82,89,0,89,2.56,9756,16679,29284,19,8,0,14,1,False,1,16.12.788.4269
NA1_5585599214,2026-06-20T17:04:44Z,420,CLASSIC,83,1.4,True,False,Nasus,TOP,0,0,0,,0,0,0,0.0,537,0,0,0,0,0,1,0,False,0,16.12.788.4269
NA1_5585605971,2026-06-20T17:21:03Z,420,CLASSIC,2812,46.9,False,False,Nasus,TOP,4,8,12,2.0,214,0,214,4.57,14403,30796,75801,22,9,0,20,1,False,3,16.12.788.4269
NA1_5586266716,2026-06-21T15:54:21Z,420,CLASSIC,2277,38.0,False,True,Nasus,TOP,9,3,8,5.67,214,4,218,5.74,16297,31155,51215,27,9,0,20,1,False,2,16.12.788.4269
NA1_5586465932,2026-06-21T22:22:46Z,420,CLASSIC,1796,29.9,False,False,Nasus,TOP,0,7,2,0.29,136,0,136,4.54,7493,13556,35751,8,4,0,15,0,False,0,16.12.788.4269
NA1_5586495062,2026-06-21T23:06:18Z,420,CLASSIC,1003,16.7,False,False,Nasus,TOP,1,2,1,1.0,101,0,101,6.04,5177,5834,16830,2,1,0,13,1,False,0,16.12.788.4269
NA1_5586511725,2026-06-21T23:35:20Z,400,CLASSIC,2037,34.0,False,True,Soraka,UTILITY,1,5,29,6.0,16,0,16,0.47,11273,6182,21776,37,15,0,16,1,False,1,16.12.788.4269
NA1_5586546038,2026-06-22T00:16:25Z,420,CLASSIC,1531,25.5,False,False,Soraka,UTILITY,0,7,10,1.43,9,0,9,0.35,5655,3559,17345,15,7,0,10,0,False,0,16.12.788.4269
NA1_5586923577,2026-06-22T13:26:28Z,420,CLASSIC,1759,29.3,False,False,Soraka,UTILITY,1,6,5,1.0,8,0,8,0.27,7085,2185,15018,26,8,0,10,1,False,0,16.12.788.4269
NA1_5586973949,2026-06-22T16:56:02Z,420,CLASSIC,369,6.2,False,True,Soraka,UTILITY,0,0,1,,3,0,3,0.49,1696,786,1156,0,0,0,4,0,False,0,16.12.788.4269
NA1_5586980193,2026-06-22T17:18:28Z,400,CLASSIC,2170,36.2,False,True,Sona,UTILITY,1,4,23,6.0,35,4,39,1.08,11434,10486,23339,29,8,0,15,1,False,0,16.12.788.4269
NA1_5586994548,2026-06-22T18:05:18Z,400,CLASSIC,1747,29.1,False,False,Sona,UTILITY,1,4,8,2.25,20,0,20,0.69,7227,2574,16154,34,15,0,11,1,False,0,16.12.788.4269
NA1_5587009567,2026-06-22T18:46:58Z,400,CLASSIC,1577,26.3,False,True,Sona,UTILITY,3,2,8,5.5,17,0,17,0.65,7429,4734,12000,19,8,0,11,1,False,0,16.12.788.4269
NA1_5587026430,2026-06-22T19:24:16Z,420,CLASSIC,2126,35.4,False,True,Sona,UTILITY,0,4,15,3.75,35,0,35,0.99,9308,5310,28372,34,13,0,15,0,False,1,16.12.788.4269
NA1_5587227061,2026-06-23T01:01:07Z,420,CLASSIC,1272,21.2,False,False,Sona,UTILITY,2,2,9,5.5,16,0,16,0.75,5971,5345,13388,18,7,0,11,1,False,0,16.12.788.4269
NA1_5587252222,2026-06-23T01:32:50Z,420,CLASSIC,1447,24.1,False,True,Sona,UTILITY,0,2,12,6.0,11,0,11,0.46,6258,4080,10850,30,9,0,11,0,False,1,16.12.788.4269
NA1_5587552132,2026-06-23T12:13:21Z,420,CLASSIC,2407,40.1,False,True,Sona,UTILITY,1,9,30,3.44,20,4,24,0.6,10800,7177,32710,19,6,0,18,1,False,1,16.12.788.4269
NA1_5587558867,2026-06-23T12:58:10Z,420,CLASSIC,2227,37.1,False,True,Sona,UTILITY,0,2,23,11.5,17,4,21,0.57,9514,2163,29051,18,8,0,15,0,False,0,16.12.788.4269
NA1_5587567802,2026-06-23T13:48:48Z,480,SWIFTPLAY,1187,19.8,False,True,Swain,MIDDLE,1,5,8,1.8,40,0,40,2.02,12885,6191,13453,8,2,0,15,1,False,0,16.12.788.4269
NA1_5587590604,2026-06-23T15:52:02Z,420,CLASSIC,2193,36.5,False,True,Sona,UTILITY,1,6,18,3.17,20,0,20,0.55,10235,1936,22567,61,22,0,16,1,False,0,16.12.788.4269
NA1_5587602536,2026-06-23T16:37:03Z,420,CLASSIC,1544,25.7,False,False,Sona,UTILITY,0,7,6,0.86,15,0,15,0.58,5923,4699,18110,34,13,0,11,0,False,0,16.12.788.4269
NA1_5587616350,2026-06-23T17:17:20Z,420,CLASSIC,1271,21.2,False,True,Ezreal,BOTTOM,1,3,3,1.33,76,0,76,3.59,5655,6226,12813,12,7,0,10,1,False,0,16.12.788.4269
NA1_5587627759,2026-06-23T17:46:14Z,420,CLASSIC,1413,23.6,False,False,Sona,UTILITY,0,5,6,1.2,27,0,27,1.15,5685,2033,12827,28,10,0,10,0,False,0,16.12.788.4269
NA1_5587638460,2026-06-23T18:25:36Z,420,CLASSIC,2399,40.0,False,True,Sona,UTILITY,0,7,15,2.14,20,0,20,0.5,10686,6102,27091,81,25,0,15,0,False,0,16.12.788.4269
NA1_5588105185,2026-06-24T12:41:08Z,420,CLASSIC,1655,27.6,False,False,Sona,UTILITY,1,7,6,1.0,16,0,16,0.58,6390,3661,19335,32,13,0,12,1,False,0,16.13.789.3741
NA1_5588111823,2026-06-24T13:16:31Z,420,CLASSIC,72,1.2,True,True,Sona,UTILITY,0,0,0,,0,0,0,0.0,517,0,0,0,0,0,1,0,False,0,16.13.789.3741
NA1_5588110392,2026-06-24T13:25:39Z,420,CLASSIC,2826,47.1,False,False,Brand,UTILITY,7,12,13,1.67,23,4,27,0.57,13645,40597,49378,67,23,0,17,1,False,0,16.13.789.3741
NA1_5588119452,2026-06-24T14:23:38Z,420,CLASSIC,3090,51.5,False,False,Brand,UTILITY,4,11,14,1.64,37,0,37,0.72,14423,31397,41282,69,23,0,18,1,True,0,16.13.789.3741
NA1_5588140961,2026-06-24T15:39:11Z,420,CLASSIC,927,15.4,False,False,Soraka,UTILITY,0,3,2,0.67,11,0,11,0.71,3401,1666,5985,5,3,0,8,0,False,0,16.13.789.3741
NA1_5588234758,2026-06-24T19:36:16Z,420,CLASSIC,1379,23.0,False,False,Soraka,UTILITY,0,8,6,0.75,8,0,8,0.35,5571,3524,15137,2,3,0,10,0,False,0,16.13.790.6961
NA1_5588302379,2026-06-24T21:33:52Z,420,CLASSIC,2521,42.0,False,True,Annie,MIDDLE,11,11,11,2.0,145,0,145,3.45,14429,42956,34200,25,11,0,18,1,False,0,16.13.790.6961
NA1_5588432024,2026-06-25T00:32:59Z,420,CLASSIC,2338,39.0,False,True,Annie,MIDDLE,7,6,13,3.33,117,0,117,3.0,11275,26822,22074,22,13,0,17,1,False,2,16.13.790.6961
NA1_5588473776,2026-06-25T01:19:49Z,420,CLASSIC,1744,29.1,False,False,Cassiopeia,MIDDLE,1,8,5,0.75,105,2,107,3.68,7234,9459,22243,8,6,0,14,1,False,1,16.13.790.6961
NA1_5588505096,2026-06-25T01:54:19Z,420,CLASSIC,1418,23.6,False,False,Cassiopeia,MIDDLE,5,10,2,0.7,95,0,95,4.02,7152,10071,25889,3,1,0,13,1,True,0,16.13.790.6961
NA1_5588822353,2026-06-25T12:45:55Z,420,CLASSIC,2068,34.5,False,True,Cassiopeia,MIDDLE,5,12,10,1.25,107,0,107,3.1,10314,10506,34307,15,9,0,16,2,False,0,16.13.790.6961
NA1_5588828699,2026-06-25T13:28:59Z,420,CLASSIC,1252,20.9,False,True,Annie,MIDDLE,9,2,6,7.5,91,4,95,4.55,9352,15012,9388,6,3,0,13,1,False,4,16.13.790.6961
NA1_5588836028,2026-06-25T14:03:32Z,420,CLASSIC,1248,20.8,False,True,Annie,MIDDLE,7,6,7,2.33,124,0,124,5.96,9202,16013,12580,9,4,0,13,1,False,1,16.13.790.6961
NA1_5588843280,2026-06-25T14:35:36Z,420,CLASSIC,2001,33.4,False,True,Annie,MIDDLE,14,5,4,3.6,187,0,187,5.61,14459,30392,19330,27,13,0,17,2,False,2,16.13.790.6961
NA1_5588908138,2026-06-25T18:09:15Z,420,CLASSIC,1863,31.1,False,True,Annie,MIDDLE,22,6,15,6.17,132,0,132,4.25,14984,45806,22456,15,8,0,17,3,False,1,16.13.790.6961
NA1_5589065841,2026-06-25T23:24:13Z,420,CLASSIC,96,1.6,True,False,Annie,MIDDLE,0,0,0,,4,0,4,2.5,639,244,394,0,0,0,2,0,False,0,16.13.790.6961
NA1_5589072918,2026-06-25T23:34:34Z,420,CLASSIC,2233,37.2,False,False,Annie,MIDDLE,8,10,14,2.2,175,0,175,4.7,13639,34237,28327,29,12,0,17,2,False,1,16.13.790.6961
NA1_5589180659,2026-06-26T01:57:19Z,420,CLASSIC,2202,36.7,False,False,Annie,MIDDLE,13,12,12,2.08,127,0,127,3.46,13930,43648,30594,12,7,0,16,2,False,0,16.13.790.6961
NA1_5589477091,2026-06-26T12:19:34Z,420,CLASSIC,996,16.6,False,True,Annie,MIDDLE,4,2,1,2.5,120,0,120,7.23,6593,6768,6628,1,2,0,11,3,False,0,16.13.790.6961
NA1_5589479389,2026-06-26T12:43:19Z,420,CLASSIC,1362,22.7,False,False,Annie,MIDDLE,4,5,3,1.4,118,0,118,5.2,7120,13458,16252,1,1,0,12,1,True,0,16.13.790.6961
NA1_5589482605,2026-06-26T13:15:08Z,420,CLASSIC,1547,25.8,False,False,Annie,MIDDLE,5,5,3,1.6,90,0,90,3.49,7609,13026,17844,2,1,0,13,1,False,0,16.13.790.6961
NA1_5589491743,2026-06-26T13:47:29Z,420,CLASSIC,2374,39.6,False,False,Annie,MIDDLE,13,5,11,4.8,191,4,195,4.93,15797,44525,26805,25,11,0,18,1,False,1,16.13.790.6961
NA1_5589502280,2026-06-26T14:47:26Z,420,CLASSIC,1989,33.1,False,True,Annie,MIDDLE,12,8,13,3.12,130,1,131,3.95,12898,35470,22949,20,8,0,16,2,False,1,16.13.790.6961
NA1_5589517230,2026-06-26T15:44:52Z,420,CLASSIC,1269,21.1,False,True,Annie,MIDDLE,5,6,3,1.33,88,0,88,4.16,7135,11700,11780,6,4,0,12,2,False,1,16.13.790.6961
NA1_5589541573,2026-06-26T17:06:52Z,420,CLASSIC,1716,28.6,False,False,Annie,MIDDLE,5,11,2,0.64,106,0,106,3.71,9392,18827,21586,17,8,0,14,1,False,0,16.13.790.6961
NA1_5589564606,2026-06-26T18:12:37Z,400,CLASSIC,1816,30.3,False,False,Locke,MIDDLE,5,14,3,0.57,101,0,101,3.34,9103,16149,30817,12,6,0,13,2,False,0,16.13.790.6961
NA1_5589583593,2026-06-26T18:54:37Z,400,CLASSIC,1719,28.6,False,False,Annie,MIDDLE,15,7,4,2.71,124,0,124,4.33,13423,36941,17276,18,8,0,15,1,False,0,16.13.790.6961
NA1_5589752806,2026-06-27T00:07:53Z,420,CLASSIC,1773,29.6,False,False,Annie,MIDDLE,8,9,7,1.67,131,0,131,4.43,10789,21809,18738,8,4,0,15,2,False,1,16.13.791.5903
NA1_5590280286,2026-06-27T18:48:34Z,440,CLASSIC,2481,41.4,False,False,Nasus,TOP,1,8,4,0.62,196,0,196,4.74,12266,17122,61136,26,11,0,18,1,False,2,16.13.791.5903
NA1_5590575009,2026-06-28T02:25:59Z,420,CLASSIC,2129,35.5,False,False,Brand,MIDDLE,17,15,3,1.33,136,0,136,3.83,16875,51713,45293,3,2,0,17,3,False,1,16.13.791.5903
NA1_5591089023,2026-06-28T21:35:30Z,420,CLASSIC,1800,30.0,False,True,Brand,UTILITY,6,14,3,0.64,52,4,56,1.87,9813,15388,29196,23,6,0,14,1,True,1,16.13.791.5903
NA1_5591185221,2026-06-28T23:51:25Z,420,CLASSIC,1675,27.9,False,False,Locke,MIDDLE,7,10,3,1.0,81,0,81,2.9,9317,13552,25322,12,7,0,12,2,True,0,16.13.791.5903
NA1_5591214168,2026-06-29T00:26:53Z,420,CLASSIC,2219,37.0,False,False,Viktor,MIDDLE,5,8,12,2.12,156,0,156,4.22,11887,22901,25950,12,6,0,16,1,False,1,16.13.791.5903
NA1_5591619925,2026-06-29T15:53:25Z,420,CLASSIC,2452,40.9,False,False,Brand,MIDDLE,11,16,10,1.31,147,0,147,3.6,13318,33642,47107,26,9,0,18,2,True,0,16.13.791.5903
NA1_5591633360,2026-06-29T16:46:44Z,420,CLASSIC,3165,52.8,False,False,Ekko,MIDDLE,13,13,9,1.69,163,4,167,3.17,18064,37547,62811,25,10,0,18,2,False,2,16.13.791.5903
NA1_5591659937,2026-06-29T18:04:49Z,420,CLASSIC,1272,21.2,False,True,Ekko,MIDDLE,8,4,3,2.75,95,0,95,4.48,9257,17295,16337,4,2,0,12,1,False,1,16.13.791.5903
NA1_5591670052,2026-06-29T18:32:23Z,420,CLASSIC,2333,38.9,False,False,Ekko,MIDDLE,1,14,8,0.64,127,0,127,3.27,9580,13420,37524,10,7,0,16,1,False,0,16.13.791.5903
NA1_5591712236,2026-06-29T20:13:09Z,420,CLASSIC,1915,31.9,False,True,Pyke,UTILITY,7,8,5,1.5,21,0,21,0.66,10397,8768,21351,17,6,0,14,1,True,0,16.13.791.5903
NA1_5591807515,2026-06-29T23:10:27Z,420,CLASSIC,2569,42.8,False,False,Ekko,MIDDLE,17,7,8,3.57,266,0,266,6.21,19836,40350,40912,23,10,0,18,2,True,4,16.13.791.5903
NA1_5591923996,2026-06-30T01:39:05Z,420,CLASSIC,1073,17.9,False,True,Ekko,MIDDLE,10,0,1,,91,0,91,5.09,7734,15557,14179,4,3,0,12,1,True,0,16.13.791.5903
NA1_5591948259,2026-06-30T02:08:08Z,420,CLASSIC,2789,46.5,False,False,Leona,UTILITY,2,10,15,1.7,25,0,25,0.54,12413,17447,54525,46,15,0,18,1,False,0,16.13.791.5903
NA1_5592238662,2026-06-30T13:43:14Z,420,CLASSIC,1761,29.4,False,True,Leona,UTILITY,2,3,18,6.67,11,0,11,0.37,8662,9153,20374,28,8,0,13,1,False,1,16.13.791.5903
